name,open,previous_close,minimal,maximum,month_variation,day_variation,year_variation,variation_52_weeks,volume,business_volume
MAXI RENDA (MXRF11),R$ 10,18,R$ 10,18,R$ 10,18,R$ 10,25,0,58%,0,58%,0,58%,arrow_upward,R$ 9.357.453,07,22.798
Fundos Imobiliários KNRI11,R$ 136,40,R$ 136,41,R$ 135,98,R$ 136,65,0,12%,0,12%,0,12%,arrow_upward,R$ 2.639.314,37,3.769
Fundos Imobiliários HGLG11,R$ 160,21,R$ 160,21,R$ 160,12,R$ 160,40,0,12%,0,12%,0,12%,arrow_downward,R$ 4.638.713,59,4.686
Fundos Imobiliários BCFF11,R$ 62,90,R$ 62,90,R$ 62,90,R$ 63,29,0,55%,0,55%,0,55%,arrow_downward,R$ 1.685.057,02,3.180
